epoch,step,train_BAcc,train_acc,train_loss,val_BAcc,val_acc,val_loss
0,2501,,,,0.6386717557907104,0.7477086782455444,1.4086525440216064
0,2501,0.8692087531089783,0.8934447765350342,0.29974356293678284,,,
1,5003,,,,0.6869919300079346,0.7618549466133118,1.1906623840332031
1,5003,0.9427353739738464,0.9508888721466064,0.14722737669944763,,,
2,7505,,,,0.698154091835022,0.7528890371322632,1.247002363204956
2,7505,0.9542359113693237,0.9609584808349609,0.11607127636671066,,,
3,10007,,,,0.7191373705863953,0.7893006801605225,1.264323115348816
3,10007,0.9622360467910767,0.967954695224762,0.0980357676744461,,,
4,12509,,,,0.6529409289360046,0.7489539980888367,2.1125569343566895
4,12509,0.966389536857605,0.9708281755447388,0.08642280101776123,,,
5,15011,,,,0.6859033107757568,0.7743076086044312,2.2103655338287354
5,15011,0.9691745638847351,0.9730395078659058,0.07868310809135437,,,
6,17513,,,,0.7303441762924194,0.7628013491630554,1.3297300338745117
6,17513,0.9705305695533752,0.9743762612342834,0.07392458617687225,,,
7,20015,,,,0.6668402552604675,0.6920202970504761,2.574449300765991
7,20015,0.9725855588912964,0.9759879112243652,0.07029636204242706,,,
8,22517,,,,0.7331982254981995,0.7785415649414062,1.6841018199920654
8,22517,0.9748926758766174,0.9779493808746338,0.0638628825545311,,,
9,25019,,,,0.7135284543037415,0.7649930119514465,1.6305705308914185
9,25019,0.9753261804580688,0.978111743927002,0.06485806405544281,,,
10,27521,,,,0.6888417601585388,0.7604602575302124,1.7232797145843506
10,27521,0.9766541719436646,0.9792486429214478,0.060037750750780106,,,
11,30023,,,,0.7073767781257629,0.7687288522720337,1.695561408996582
11,30023,0.9769891500473022,0.9800107479095459,0.05778122320771217,,,
12,32525,,,,0.6702601313591003,0.7577206492424011,2.2963263988494873
12,32525,0.9768973588943481,0.9800107479095459,0.05833222717046738,,,
13,35027,,,,0.6554561853408813,0.6838513612747192,3.13904070854187
13,35027,0.9790312647819519,0.9820096492767334,0.05105426907539368,,,
14,37529,,,,0.7131167054176331,0.7671846747398376,1.7129734754562378
14,37529,0.9798639416694641,0.982371985912323,0.051475267857313156,,,
15,40031,,,,0.6626250743865967,0.7700238823890686,1.9613603353500366
15,40031,0.9804672598838806,0.9827717542648315,0.05068691447377205,,,
16,42533,,,,0.6622788906097412,0.7498505711555481,2.104641914367676
16,42533,0.9810119867324829,0.9833089709281921,0.04904821887612343,,,
17,45035,,,,0.6974765062332153,0.7793883085250854,2.058811902999878
17,45035,0.9807940125465393,0.983321487903595,0.04724577069282532,,,
18,47537,,,,0.6752603054046631,0.7573221921920776,2.6580772399902344
18,47537,0.9809592366218567,0.9830965995788574,0.04770217835903168,,,
19,50039,,,,0.6609714031219482,0.7632496356964111,2.627180814743042
19,50039,0.9816763401031494,0.9838961362838745,0.045499008148908615,,,
20,52541,,,,0.6752699613571167,0.7563259601593018,2.66115140914917
20,52541,0.9816582202911377,0.9842084646224976,0.04377875477075577,,,
21,55043,,,,0.6466607451438904,0.7481570243835449,2.742997884750366
21,55043,0.9824347496032715,0.9846707582473755,0.046359024941921234,,,
22,57545,,,,0.6647858023643494,0.7628013491630554,2.145146369934082
22,57545,0.9824844002723694,0.9846207499504089,0.04268178716301918,,,
23,60047,,,,0.6724395155906677,0.7569735050201416,2.455411195755005
23,60047,0.9831842184066772,0.9856327176094055,0.04215110465884209,,,
